design_layer,design_datatype,foundry_layer,foundry_datatype,cell_name,one_to_many,layer_name,layer_type,layer_description,layer_present
2,0,2,0,*,FALSE,diff,flag,diff,YES
2,20,2,20,*,FALSE,diff_label,mask,diff_label,NO
2,2,2,2,*,FALSE,diff_keepout,mask,diff_keepout,YES
2,24,2,24,*,FALSE,lup_well_volt_label,mask,lup_well_volt_label,NO
2,32,2,32,*,FALSE,diff_pin,mask,diff_pin,NO
2,4373,2,4373,*,FALSE,temp1_sram,mask,rx_critexcl_temp1_sram,YES
2,52,2,52,*,FALSE,diff_dummy,mask,diff_dummy,NO
2,55,2,55,*,FALSE,m0diff2_fillopc,mask,m0diff2_fillopc,NO
2,58,2,58,*,FALSE,diff_dummycell1,mask,diff_dummycell1,NO
2,84,2,84,*,FALSE,diff_procctrlimg,mask,diff_procctrlimg,NO
4,0,4,0,*,FALSE,nwell,mask,nwell,YES
4,20,4,20,*,FALSE,nwell_label,text,nwell_label,NO
4,21,4,21,*,FALSE,nwres_lvs,mask,nwres_lvs,NO
4,32,4,32,*,FALSE,nwell_pin,mask,nwell_pin,NO
5,17,5,17,*,FALSE,pwellblk,mask,pwellblk,NO
7,0,7,0,*,FALSE,poly,mask,poly,YES
7,20,7,20,*,FALSE,poly_label,mask,poly_label,NO
7,213,7,213,*,FALSE,pcstn4_marker,mask,pcstn4_marker_JIRA_No_P10030410-8640,NO
7,217,7,217,*,FALSE,pcstn8_marker,mask,pcstn8_marker_STAR_9001578055,NO
7,219,7,219,*,FALSE,pcstp2_marker,mask,pcstp2_marker,NO
7,221,7,221,*,FALSE,pcstp4_marker,mask,pcstp4_marker,YES
7,225,7,225,*,FALSE,pcstp8_marker,mask,pcstp8_marker,YES
7,2,7,2,*,FALSE,poly_keepout,mask,poly_keepout,YES
7,32,7,32,*,FALSE,poly_pin,mask,poly_pin,NO
7,4373,7,4373,*,FALSE,temp2_sram,mask,pc_critexcl_temp2_sram,YES
7,52,7,52,*,FALSE,poly_dummy,mask,poly_dummy,NO
7,55,7,55,*,FALSE,m0poly_fillopc,mask,m0poly_fillopc,NO
7,58,7,58,*,FALSE,poly_dummycell1,mask,poly_dummycell1,NO
7,83,7,83,*,FALSE,parapoly_marker,mask,parapoly_marker,YES
7,84,7,84,*,FALSE,poly_procctrlimg,mask,poly_procctrlimg,NO
10,84,10,84,*,FALSE,temp10_temporary,mask,temp10_temporary,NO
11,84,11,84,*,FALSE,temp11_temporary,mask,temp11_temporary,NO
12,106,12,106,*,FALSE,hvtn,mask,hvtn,NO
12,112,12,112,*,FALSE,cellactive_sram,mask,cellactive_sram,YES
12,134,12,134,*,FALSE,rotdev_marker,mask,rotdev_marker,NO
12,143,12,143,*,FALSE,boundary_dummycell1,mask,boundary_dummycell1,NO
12,149,12,149,*,FALSE,parapoly2_marker,mask,parapoly2_marker,NO
12,207,12,207,*,FALSE,parapoly3_marker,mask,parapoly3_marker,YES
12,222,12,222,*,FALSE,diffres_lvs,mask,diffres_lvs,NO
12,227,12,227,*,FALSE,esdclamp_drc,mask,esdclamp_drc,NO
12,290,12,290,*,FALSE,parapoly4_marker,mask,parapoly4_marker,NO
12,36,12,36,*,FALSE,guardedg_drc,mask,guardedg_drc,NO
12,38,12,38,*,FALSE,indident_lvs,mask,indident_lvs,NO
12,43,12,43,*,FALSE,thick_ox,mask,thick_ox,NO
12,44,12,44,*,FALSE,underdrive_drc,mask,underdrive_drc,NO
12,45,12,45,*,FALSE,analog_drc,mask,analog_drc,NO
12,47,12,47,*,FALSE,varactor_lvs,mask,varactor_lvs,NO
12,48,12,48,*,FALSE,salblkesd,mask,salblkesd,NO
12,54,12,54,*,FALSE,bjt_lvs,mask,bjt_lvs,NO
12,71,12,71,*,FALSE,guardrng_drc,mask,guardrng_drc,NO
12,80,12,80,*,FALSE,underdrive12v_drc,mask,underdrive12v_drc,NO
12,86,12,86,*,FALSE,pcap_lvs,mask,pcap_lvs,NO
12,88,12,88,*,FALSE,esdcdm_drc,mask,esdcdm_drc,NO
12,94,12,94,*,FALSE,esdhbm_drc,mask,esdhbm_drc,NO
14,0,14,0,*,FALSE,m0diff2,mask,m0diff2,YES
14,2,14,2,*,FALSE,m0diff2_keepout,mask,m0diff2_keepout,YES
14,4373,14,4373,*,FALSE,temp3_sram,mask,ca_critexcl_temp3_sram,YES
14,84,14,84,*,FALSE,cont_procctrlimg,mask,cont_procctrlimg,NO
14,88,14,88,*,FALSE,sram_marker17,mask,sram_marker17,YES
15,0,15,0,*,FALSE,m1,mask,m1,YES
15,100,15,100,*,FALSE,m1_1v2,mask,m1_1v2,NO
15,101,15,101,*,FALSE,m1_1v5,mask,m1_1v5,NO
